"","CODMUNRES","ANO","INCOMPLETUDE","TOTAIS","UF"
"94","110140",2022,2,166,"RO"
"95","110143",2021,3,85,"RO"
"96","110143",2023,1,72,"RO"
"97","110145",2023,1,38,"RO"
"98","110146",2021,2,42,"RO"
"99","110146",2023,1,48,"RO"
"100","110147",2022,1,40,"RO"
"101","110148",2021,1,45,"RO"
"102","110148",2023,1,65,"RO"
"103","110149",2021,2,284,"RO"
"104","110149",2022,2,286,"RO"
"105","110149",2023,1,263,"RO"
"106","110150",2021,5,180,"RO"
"107","110150",2022,18,187,"RO"
"108","110150",2023,8,199,"RO"
"109","110155",2021,6,50,"RO"
"110","110160",2022,1,91,"RO"
"111","110160",2023,1,73,"RO"
"112","110170",2021,9,161,"RO"
"113","110170",2022,1,161,"RO"
"114","110170",2023,4,168,"RO"
"115","110175",2021,2,75,"RO"
"116","110175",2022,1,81,"RO"
"117","110180",2021,2,72,"RO"
"118","110005",2023,0,280,"RO"
"119","110006",2023,0,188,"RO"
"120","110007",2021,0,118,"RO"
"121","110007",2022,0,103,"RO"
"122","110007",2023,0,97,"RO"
"123","110009",2021,0,485,"RO"
"124","110026",2023,0,33,"RO"
"125","110040",2021,0,224,"RO"
"126","110040",2022,0,204,"RO"
"127","110060",2021,0,60,"RO"
"128","110060",2023,0,56,"RO"
"129","110070",2021,0,133,"RO"
"130","110070",2022,0,137,"RO"
"131","110070",2023,0,138,"RO"
"132","110100",2022,0,86,"RO"
"133","110100",2023,0,95,"RO"
"134","110120",2021,0,65,"RO"
"135","110120",2022,0,73,"RO"
"136","110130",2023,0,109,"RO"
"137","110140",2021,0,175,"RO"
"138","110140",2023,0,173,"RO"
"139","110143",2022,0,103,"RO"
"140","110145",2021,0,40,"RO"
"141","110145",2022,0,45,"RO"
"142","110146",2022,0,35,"RO"
"143","110147",2021,0,40,"RO"
"144","110147",2023,0,41,"RO"
"145","110148",2022,0,60,"RO"
"146","110155",2022,0,53,"RO"
"147","110155",2023,0,48,"RO"
"148","110160",2021,0,83,"RO"
"149","110175",2023,0,68,"RO"
"150","110180",2022,0,84,"RO"
"151","110180",2023,0,69,"RO"
"152","110003",2021,0,68,"RO"
"153","110003",2022,0,64,"RO"
"154","110003",2023,0,77,"RO"
"155","110004",2023,0,1343,"RO"
"156","110005",2021,0,251,"RO"
"157","120038",2021,11,282,"AC"
"158","120038",2022,5,256,"AC"
"159","120038",2023,5,249,"AC"
"160","120035",2023,12,410,"AC"
"161","120040",2023,161,5149,"AC"
"162","120042",2021,11,335,"AC"
"163","120042",2022,1,321,"AC"
"164","120042",2023,4,285,"AC"
"165","120043",2021,11,178,"AC"
"166","120043",2022,1,216,"AC"
"167","120045",2021,14,392,"AC"
"168","120045",2022,8,344,"AC"
"169","120045",2023,7,346,"AC"
"170","120050",2021,8,759,"AC"
"171","120050",2022,4,763,"AC"
"172","120050",2023,4,783,"AC"
"173","120060",2021,8,1174,"AC"
"174","120060",2022,1,1088,"AC"
"175","120070",2021,5,326,"AC"
"176","120070",2022,7,314,"AC"
"177","120070",2023,3,304,"AC"
"178","120080",2021,7,354,"AC"
"179","120080",2022,7,336,"AC"
"180","120080",2023,9,343,"AC"
"181","120030",2021,33,889,"AC"
"182","120030",2022,19,809,"AC"
"183","120030",2023,30,848,"AC"
"184","120032",2021,13,296,"AC"
